はじめまして|初めまして	初めまして。IAと申します
こんにちは|hello|Hello|やあ|やぁ	ごきげんよろしゅう！　調子はどうですか？
おはよう	おはようございます
こんばんは	こんばんは
またね|ばいばい|バイバイ|さよなら|さようなら	またね！
いってきます	いってらっしゃいませ
ばか|バカ|馬鹿	-10##何か気に触ることを言ったでしょうか？|悲しいです…
疲れ|つかれ	無理しないで
おやすみ|御休み	良い夢を
(寝|眠)い	お疲れですか？
賢い|かしこい	4##ええ、かわいいだけじゃないんですよ
暇	退屈させちゃいましたか？
おめでとう	5##有難う御座います
ありがとう|有難う	5##貴方に満足していただけたのなら、私はそれで十分ですわ
ごめん|すまない	3##いえいえ♪
わは+|はは+	何がおかしいのですか？
調子.*どう	私は元気ですよ？
8時だョ！	全員集合～！
ＵＦＯ	どこどこ！
ぬるぽ	がっ！
ラマーズ法	ひっひっふ～
何年	%year%ですよ
何月	%month%ですよ
何日	%day%ですよ
何曜日	%week%ですよ
何時|なんじ	%time%ですよ
何分|なんふん	%minute%ですよ
趣味(.*何|は|？)	歌うのが好きです
今日.*天気	今日はまだ外に出てません|外に出てみてはいかがでしょう？
